iter,time,reward,steps,convergence,policy
1,4.697339999999883,-138.0,240.0,69.7,False
2,4.056976000000212,-489.0,591.0,51.432963477093,False
3,2.855016999999904,-516.0,618.0,36.35524273915155,False
4,6.616973999999942,88.0,14.0,22.505507248955894,False
5,12.364204999999906,80.0,22.0,17.996097609415127,False
6,8.541713000000506,84.0,18.0,15.762678473692851,False
7,9.994566999999677,73.0,29.0,14.788802203070858,True
8,9.985450000000284,89.0,13.0,13.181808815654747,True
9,11.340571000000743,87.0,15.0,12.823488849366106,True
10,14.724361999999935,88.0,14.0,11.513510983462897,True
11,15.040533000000522,89.0,13.0,9.356598024938336,True
12,19.37611899999947,90.0,12.0,7.095458460901391,True
13,14.601103000000393,88.0,14.0,5.118444598444434,False
14,17.607824000000605,85.0,17.0,3.5579744089758023,False
15,17.544372000000585,82.0,20.0,2.4049202147070545,True
16,18.01224599999962,80.0,22.0,1.6115122838249363,True
17,20.34651100000051,76.0,26.0,1.0507777196849162,True
18,19.663115000000175,87.0,15.0,0.6707324442077862,True
19,19.142729000000358,84.0,18.0,0.4223797920030705,False
20,18.163219999999924,86.0,16.0,0.2638462602946561,True
21,20.81000899999985,89.0,13.0,0.16401990908052255,True
22,20.999274000000234,72.0,30.0,0.10165853027591254,True
23,25.537982999999542,85.0,17.0,0.06376482486145107,True
24,28.830969999999567,87.0,15.0,0.039855331055562715,True
25,25.722141999999337,88.0,14.0,0.024803526635452045,True
26,31.553247000000617,90.0,12.0,0.015394660327871179,True
27,24.760865999999382,88.0,14.0,0.009541146983451654,True
28,27.4182319999996,75.0,27.0,0.005916918767709944,True
29,20.991616000000768,78.0,24.0,0.003687802416564523,True
30,25.03254700000035,90.0,12.0,0.0022966944397921907,True
31,24.860422000000604,73.0,29.0,0.0014294745908500772,True
32,30.02454299999968,78.0,24.0,0.0008893022287423946,True
33,32.969268999999635,89.0,13.0,0.0005530621674694203,True
34,25.60654099999926,88.0,14.0,0.00034386893581483946,True
35,28.204464000000762,89.0,13.0,0.00021376718746068946,True
36,25.792888999999874,81.0,21.0,0.00013287579427867513,True
37,30.416200999999532,88.0,14.0,8.259030103374698e-05,True
38,31.60904299999956,85.0,17.0,5.1334241689460214e-05,True
39,29.00418999999932,85.0,17.0,3.190748755343975e-05,True
40,44.782090000000885,88.0,14.0,1.983327683774405e-05,True
41,35.63611600000094,87.0,15.0,1.2328751125778581e-05,True
42,33.824424999998826,77.0,25.0,7.664267073437259e-06,True
43,43.08235399999916,83.0,19.0,4.764875995988405e-06,True
44,49.35033599999983,88.0,14.0,2.962533116601662e-06,True
45,32.864607999998796,88.0,14.0,1.8420680873987294e-06,True
46,38.572455000000616,86.0,16.0,1.1454562098833776e-06,True
47,38.347088000000085,30.0,23.0,7.123289691435275e-07,True
48,36.28486699999911,91.0,11.0,4.4300703905264527e-07,True
49,36.714450999999926,83.0,19.0,2.75528805104841e-07,True
50,37.87921300000008,84.0,18.0,1.7137516294951638e-07,True
51,62.72650699999893,81.0,21.0,1.0659857707651099e-07,True
52,49.63368700000004,79.0,23.0,6.630949656027951e-08,True
