iter,time,reward,steps,convergence,policy
1,2.527542,63,39,9.99,
2,0.656409,-200,302,9.7919,
3,3.077467,1,101,9.750943292,
4,0.865731,-4,106,9.516696323,
5,1.15127,-30,132,9.205874052,
6,1.644306,-101,203,9.007774052,
7,0.787327,-121,223,8.532149931,
8,0.469333,-536,638,8.004088223,
9,1.066665,83,19,7.455376155,
10,0.262929,24,78,7.099149862,
11,0.676831,-49,151,6.688546199,
12,0.161185,6,96,6.408102902,
13,0.807019,90,12,5.797020013,
14,0.384,88,14,5.362994792,
15,0.324193,50,52,5.403711078,
16,0.177231,47,55,4.981953014,
17,0.205311,75,27,4.921796798,
18,0.332581,64,38,5.462452274,
19,0.606815,86,16,5.485284525,
20,0.633071,82,20,5.386178692,
21,0.632341,85,17,5.181769769,
22,0.316535,82,20,4.9527844,
23,0.125082,78,24,5.336466015,
24,0.467874,83,19,5.673565885,
25,0.490119,84,18,5.659124453,
26,0.357379,88,14,5.569772831,
27,0.450005,90,12,5.64287965,
28,0.415362,39,14,5.112122969,
29,1.453218,87,15,5.178849504,
30,1.016341,80,22,5.52138941,
31,1.09438,83,19,5.482101636,
32,0.680113,87,15,5.60321069,
33,0.677196,84,18,5.298171769,
34,0.373059,86,16,5.016477393,
35,3.224795,89,13,4.911916662,
36,0.268034,80,22,4.957103559,
37,0.564877,80,22,4.81883375,
38,0.431772,90,12,4.662975177,
39,0.342063,-15,19,4.443640104,
40,0.190724,88,14,3.858466582,
41,0.603168,89,13,4.030861518,
42,0.320911,88,14,4.089985494,
43,0.250165,89,13,3.949896139,
44,0.159362,82,20,3.997186571,
45,0.440888,87,15,3.771058082,
46,0.565607,86,16,3.777743052,
47,0.299396,84,18,3.742399555,
48,0.135658,85,17,3.704580657,
49,0.387647,84,18,3.869436351,
50,0.26147,79,23,4.005132695,
51,1.112979,-9,13,4.043485386,
52,1.662539,87,15,3.960456978,
53,0.239589,81,21,4.009798298,
54,0.331123,89,13,3.741114087,
55,0.268034,88,14,3.686908855,
56,0.316536,88,14,3.591819921,
57,0.20604,74,28,3.42145357,
58,0.201664,75,27,3.599507635,
59,0.526951,85,17,3.74416764,
60,0.204581,89,13,3.942490407,
61,0.41755,89,13,3.968491176,
62,0.405516,83,19,3.933965157,
63,0.604626,39,14,4.171797524,
64,0.395669,91,11,4.386232987,
65,0.431407,90,12,4.214908373,
66,0.265117,40,13,4.170045627,
67,0.270587,87,15,4.200096564,
68,0.229378,72,30,3.953868098,
69,0.251624,75,27,3.608344924,
70,0.479544,90,12,3.341488637,
71,0.327111,83,19,2.962502422,
72,0.450005,83,19,2.89091609,
73,0.497048,85,17,2.553829323,
74,0.254541,88,14,2.391135255,
75,0.241777,85,17,2.419897786,
76,0.239225,83,19,2.411171727,
77,0.467874,88,14,2.448799449,
78,0.237037,84,18,2.584852907,
79,0.358108,83,19,2.527043329,
80,0.499965,89,13,2.361999936,
81,0.592593,78,24,2.483873145,
82,0.53935,90,12,2.38515693,
83,0.222085,85,17,2.316596588,
84,0.140034,89,13,2.218812685,
85,0.254906,81,21,2.296145487,
86,0.168479,87,15,2.325865819,
87,0.129823,77,25,2.236000682,
88,2.803963,83,19,2.31151775,
89,0.656045,80,22,2.280428434,
90,0.557948,79,23,2.458103295,
91,0.664797,85,17,2.658374336,
92,1.477286,88,14,2.622683533,
93,0.552843,88,14,2.640817277,
94,0.293926,85,17,2.703200367,
95,0.357743,-22,26,2.554871418,
96,0.358838,89,13,2.504808409,
97,0.342427,88,14,2.75164884,
98,0.489025,81,21,2.695167353,
99,0.660785,91,11,3.007323713,
100,0.551749,89,13,2.847856276,
101,0.386188,89,13,2.801930799,
102,0.602803,81,21,2.797686557,
103,0.243966,87,15,2.930679557,
104,0.292467,75,27,2.881556895,
105,0.113413,83,19,2.893578361,
106,0.29429,86,16,3.090954394,
107,0.435418,79,23,3.181024816,
108,0.378894,37,16,2.99043216,
109,0.419373,90,12,2.566921723,
110,0.823064,88,14,2.740508839,
111,0.331487,83,19,2.498230414,
112,0.307054,87,15,2.438051756,
113,0.587487,89,13,2.203645682,
114,1.062654,86,16,2.148788221,
115,0.466415,90,12,2.527963096,
116,0.424113,79,23,2.682397381,
117,0.639999,84,18,2.615650742,
118,0.504706,66,36,2.506196902,
119,0.519657,74,28,2.796951961,
120,0.468604,87,15,2.815048125,
121,0.625413,90,12,3.096187677,
122,0.518929,78,24,3.06690072,
123,0.455476,89,13,3.065073444,
124,0.855521,80,22,3.494929252,
125,1.090369,63,39,3.475639968,
126,0.250165,90,12,3.011182487,
127,0.596604,82,20,2.638391015,
128,0.439794,78,24,2.77008859,
129,1.142518,89,13,2.680407409,
130,0.317994,81,21,2.394253518,
131,0.397857,80,22,2.194836098,
132,0.700171,71,31,2.216334174,
133,0.291008,82,20,2.287886012,
134,0.200934,77,25,2.080136493,
135,0.14441,86,16,1.722595207,
136,0.256365,85,17,2.102744504,
137,0.299031,89,13,2.378782206,
138,0.187806,88,14,2.216561385,
139,0.429583,86,16,2.247785757,
140,0.659692,81,21,2.284160237,
141,0.465321,88,14,2.053398871,
142,0.545549,89,13,2.123785805,
143,1.052808,87,15,2.027762689,
