iter,time,reward,steps,convergence,policy
1,9.061734999999516,-1595.0,1697.0,69.7,False
2,12.471054000002368,-50342.0,50000.0,50.7917409052072,False
3,17.224919000000227,-50342.0,50000.0,24.79258479665852,False
4,17.282901000001516,-2648.0,2750.0,21.104780431751053,False
5,27.340920999996854,-9533.0,9586.0,19.05192497868113,False
6,23.116559999998287,-1239.0,1341.0,16.72874279536851,False
7,30.420575999997368,-12448.0,12501.0,15.564324829508287,False
8,27.800042999999164,-574.0,676.0,14.083598817458451,False
9,41.92962499999453,-2251.0,2353.0,14.554810672302953,False
10,39.574573000003,-50048.0,50000.0,12.250487569890765,False
11,39.982641999998236,-22028.0,22130.0,11.34140637325433,False
12,40.23681799999679,-4114.0,4216.0,12.544681983852284,False
13,51.388123999998925,-19510.0,19612.0,9.900058475257437,False
14,48.27528399999892,-19207.0,19309.0,9.184233734744979,False
15,62.926347000001215,-2888.0,2990.0,10.453171408358545,False
16,78.29180400000268,-5288.0,5390.0,9.269231386692672,False
17,60.024651999995626,-291.0,393.0,8.20068096866365,False
18,63.68340699999919,-1241.0,1343.0,7.754822404060603,False
19,68.17251900000088,-356.0,458.0,7.365899754661282,False
20,72.67439499999995,-106.0,61.0,6.582714136872401,False
21,77.02347400000065,53.0,49.0,6.347144263781331,False
22,79.38326600000067,61.0,41.0,6.019271522928962,False
23,82.80279600000284,-1.0,54.0,5.815037758922989,True
24,87.19271799999717,-4.0,57.0,5.334714149944202,False
25,87.80718999999948,36.0,66.0,5.094720279398656,True
26,89.6648300000038,-52.0,56.0,4.922310901322904,False
27,98.99569299999911,38.0,64.0,4.862206008737165,True
28,103.68537600000138,5.0,48.0,4.5790904709156015,True
29,100.7486720000017,61.0,41.0,4.293628448119501,True
30,107.55892200000261,63.0,39.0,4.052114613243253,False
31,111.232262999998,61.0,41.0,4.843320367912381,True
32,117.73071900000076,-7.0,60.0,3.5501526811145183,True
33,113.07312799999636,38.0,64.0,3.0260512428721533,False
34,176.55122400000067,55.0,47.0,3.063698695793037,True
35,127.27272699999759,56.0,46.0,2.280957852681957,False
36,118.81160699999782,52.0,50.0,1.9349352514936307,True
37,132.3602670000028,54.0,48.0,1.595931319268022,True
38,123.30983599999712,54.0,48.0,1.3623863281225255,True
39,133.85833899999966,58.0,44.0,1.1777538619486965,True
40,134.08516599999842,53.0,49.0,0.9720680842413199,False
41,141.21778599999857,54.0,48.0,0.7859880219752515,False
42,144.99287099999947,58.0,44.0,0.658994432774886,True
43,146.60763799999899,54.0,48.0,0.5916246438047761,True
44,156.40309400000518,65.0,37.0,0.49949309555422516,False
45,155.28975100000508,52.0,50.0,0.40165135172100896,True
46,160.79921499999728,54.0,48.0,0.31470333270106465,True
47,167.92745900000483,53.0,49.0,0.24241710812065875,True
48,177.99386600000133,41.0,61.0,0.18437363664338768,True
49,166.2660139999943,-9.0,62.0,0.13878540941898443,True
50,168.2768149999987,57.0,45.0,0.10354840886888361,True
51,181.55634699999723,57.0,45.0,0.07665475064230343,True
52,173.57586499999655,64.0,38.0,0.05634518688068724,True
53,185.71105599999527,63.0,39.0,0.04114838087553174,True
54,185.80878800000278,52.0,50.0,0.029870167390964042,True
55,180.13521999999682,61.0,41.0,0.021562112122765598,True
56,191.47214400000223,58.0,44.0,0.015483566807080962,True
57,192.90822299999633,58.0,44.0,0.01106412656699085,True
58,201.79710400000062,54.0,48.0,0.007869671581442361,True
59,231.6218059999997,58.0,44.0,0.005573210248167371,True
60,241.65138099999695,53.0,49.0,0.003930704386123196,True
61,206.15311199999553,37.0,65.0,0.0027615337237811843,True
62,215.7093419999967,46.0,56.0,0.0019330240462789305,True
63,247.52989399999592,48.0,54.0,0.0013483940812903938,True
64,260.83750600000144,50.0,52.0,0.0009374956350498564,True
65,236.23308399999843,60.0,42.0,0.0006497848660789174,True
66,215.30820300000642,54.0,48.0,0.0004490433659771753,True
67,233.18150800000126,51.0,51.0,0.00030945070654730955,True
68,241.67982499999852,47.0,55.0,0.00021268719924982804,True
69,236.9926959999944,56.0,46.0,0.00014581305134342415,True
70,240.13945100000456,58.0,44.0,9.972675251290752e-05,True
71,247.9820869999969,60.0,42.0,6.805171067725269e-05,True
72,255.32001799999904,60.0,42.0,4.6336942597591246e-05,True
73,259.8849829999992,49.0,53.0,3.148637967420598e-05,True
74,263.91825599999663,57.0,45.0,2.1353474631169433e-05,True
75,268.56782300000503,49.0,53.0,1.44545921401118e-05,True
76,248.87881500000475,55.0,47.0,9.767271986760306e-06,True
77,258.53751899999367,53.0,49.0,6.588816329866631e-06,True
78,261.06870799999626,27.0,75.0,4.4375443088995326e-06,True
79,269.65819299999794,41.0,61.0,2.9840890913845897e-06,True
80,274.4346670000013,64.0,38.0,2.003758881485851e-06,True
81,287.7236809999957,53.0,49.0,1.3436088810436786e-06,True
82,285.1490959999978,58.0,44.0,8.997493878837304e-07,True
83,273.5514319999979,68.0,34.0,6.017521130274872e-07,True
84,274.79715100000135,41.0,61.0,4.019626835827239e-07,True
85,281.3400969999975,49.0,53.0,2.6819413712075857e-07,True
86,339.0355889999981,37.0,65.0,1.7874356572633587e-07,True
87,285.4546909999982,39.0,63.0,1.1900086249738706e-07,True
88,293.10733399999833,59.0,43.0,7.914587740742718e-08,True
89,316.3624700000014,56.0,46.0,5.258766044846652e-08,True
90,299.53030200000086,56.0,46.0,3.4908781643139264e-08,True
91,305.11087900000433,56.0,46.0,2.315248615047949e-08,True
92,312.4655840000017,61.0,41.0,1.534225724242333e-08,True
93,312.011566999999,56.0,46.0,1.0158379026847797e-08,True
94,312.1592600000014,58.0,44.0,6.720757284028878e-09,True
95,326.08498999999824,58.0,44.0,4.443084122840446e-09,True
96,328.13262400000553,58.0,44.0,2.9351880925787555e-09,True
97,314.44028300000326,67.0,35.0,1.9376962256956176e-09,True
98,325.79252300000405,45.0,57.0,1.2783374359059962e-09,True
99,319.9811100000005,60.0,42.0,8.428013842376458e-10,True
100,331.7075039999935,52.0,50.0,5.553122406354305e-10,True
